"zpUaS","efdml","vNqhQ","llwez","CVFLD","DwRsZ","gUGeA","jdTsK","CvVUB","vBztq","NvwZr","bGZSr","capGG","irUbB","AlueB","SSAtf","fnPwi","pHZXE","qzjdp","NDapo","GkCZP","wMcue","NkQeJ","uAkMU","Gpgqk","tGwHt","LEoAr","tFErF","lRGmA","iaDHy","ScDgC","IfPOJ","lvKEs","PwEPl","UUZzB","vHeBx","AoZbU"
"A","E","D","C","A","A","C","E","B","C",NA,"C","E","B","A","C","A","B","A","B",NA,"B","A","D","A",NA,"B",NA,"C","D","B","B","D","B","B","F","B"
NA,"F","E","C","A","C","D","D",NA,"B","E","C","B","B",NA,"C","B",NA,"A",NA,"B","F","A",NA,"A","A","A","B","D","D","B","D","E","D","B","B","B"
"B","C","D","C","C","B","C","C","A","C","B","B","D","B","A","B","A","A","A",NA,"B","C","A",NA,"C","A","A","B","A","E","A","E",NA,"D","C","A","B"
"A","F","D","A","B","B","E","D",NA,"C",NA,"B","A","B",NA,"C","A",NA,"A",NA,"B","C","B","D",NA,"A","A","E","D","C","B","B","B","D","C","F","B"
"A","A","B","A","C","B","C","A","C","B",NA,"A",NA,"B","A",NA,"A","B",NA,NA,"B","F","A","D",NA,"B","B","A","C","C","B","B","B","C","B","A","A"
"B","C","E","B","C","B","C","E",NA,"B",NA,"A","F","A","B","C","C","A",NA,NA,"D","F","A","D","D","B","A","F","D","E","A","B",NA,"D","C","A","B"
"A","A","E","B","C","A",NA,"A","A","B","B","B",NA,"A","A",NA,"A","A","B","B","D","D","A",NA,"C","A","B","F","B","D","B","C","A","F","B","D","A"
"B","F","A","B","C","C","A","B","A","B",NA,"A",NA,"B",NA,NA,"A",NA,"A",NA,NA,"D","A","D","C",NA,"B","D","D","D","A",NA,"B","C","A","B","B"
NA,"A","D","A","C","A","D","E","D","A","B","A","A","B",NA,"C","A","B","A",NA,NA,"B","A","D","C","A","A","E","A","E","A","B",NA,"D","B","A","B"
"B","F","D","B","C","C",NA,"D","D","C",NA,"A",NA,"B",NA,"C","B","B","A","D",NA,"B","A","D","C",NA,"B",NA,"D",NA,"B","B","B","F","B","E","A"
"C","A","D","A","B","B","E","A","D","A",NA,"A","E","B","B","B","B","A","A",NA,"B","A","A","A",NA,"B","A",NA,"D","D","B","B","E","D","B","D","B"
"B","F","E","B","B","A","C","D","A","A",NA,"A","B","B","A","A","A","A",NA,"B",NA,"A","A","D","C","A","A","F","B","D","B","B","B","A","C","D","B"
NA,"F","D","C","C","B",NA,"E",NA,"A","A","A","F","B",NA,NA,"C",NA,"A",NA,"B","D","A","B","D","B","A",NA,"D",NA,"B","A","B","E","B","B","A"
"B","A","E","C","C","C",NA,"C","D","A","A","B","E","B",NA,"B","B","A","A",NA,NA,"A","A","D","A","B","A","A","B",NA,"B","D","A","F","B","B","B"
"B","F","E","C","C","B","D","D","B","C","B","C",NA,"B",NA,"C","C",NA,"A",NA,NA,"B","A","D","A","A","B","E","C","C","A",NA,"E","A","B","F","A"
"A","A","B","A","C","B","D","A","A","A","D","C",NA,"B","A","A","A","A","A",NA,NA,"E","A",NA,NA,"A","B","E","A","E","A","B",NA,"B","B","B","B"
NA,"F","D","A","C","A",NA,"A","A","B","D","C",NA,"B","A",NA,"B","B","A","E","B","D","A","D",NA,"A","A","E","D",NA,"A","E",NA,"B","C","A","B"
"A","C","E","A","A","C","C","D","B","C","D","C","B","B",NA,"B","C","B","A",NA,"B","F","A","D",NA,NA,"A","E","A","E","A","B",NA,"A","B","B","B"
NA,"F","A","A","B","C","A","C","A","C",NA,"A",NA,"B",NA,NA,"B","A",NA,NA,NA,"D","A",NA,NA,NA,"B","B","B","D","A",NA,NA,"F","B","E","B"
NA,"A","E","A","C","C","C","E","B","A","A","A","E","A","A",NA,"B","B",NA,"E","B","A","A","C","C","A","A","B","A","E","B","E","E","A","B","E","B"
"B","A","E","B","C","B",NA,"E",NA,"C",NA,"C","A","B","A","A","C","A","A","B","B","C","A",NA,"C","B","B","C","D","D","B","C","B","F","C","F","A"
NA,"D","E","C","A","B",NA,"A","B","C",NA,"A",NA,"B",NA,"C","B","B",NA,"E",NA,"B","A",NA,"C","A","B","F","C",NA,"A",NA,NA,"F","C","E","B"
"B","A","D","C","B","B","D","B","A","A","B","B",NA,"A","A","C","C","B","A","B","B","B","A",NA,"A","A","B","B","A","E","B","A",NA,"B","C","C","A"
"A","F","D","C","C","A","D","D","A","A","D","B","E","B",NA,"B","A","A","B","E","B","C","A","C","A","B","A",NA,"A","E","B",NA,"E","D","C","A","B"
NA,"F","E","B","B","A","C","C",NA,"C",NA,"A",NA,"A","A",NA,"A","B","A","E","B","D","A",NA,"B","A","B","E","D","D","B","B","B","B","C","B","B"
"B","E","D","B","A","C","C","E","B","B",NA,"B","F","B",NA,"B","B","A","A",NA,"D","A","A","D","C",NA,"A",NA,"C",NA,"B","B","E","C","A","B","A"
"A","F","D","A","C","B","E","D","B","B","C","B",NA,"B",NA,"B","C","A",NA,"E","B","F","A","C","C","B","B",NA,"D","C","B","B","D","A","A","C","B"
NA,"A","D","A","B","C",NA,"B","A","A","E","A","E","B","A","B","B",NA,NA,"E","D","D","A","D",NA,NA,"A",NA,"B",NA,"A",NA,NA,"F","B","A","B"
"C","F","D","A","B","B","D","E","B","A","E","C",NA,"B",NA,"C","A","A","A",NA,NA,"B","A",NA,NA,NA,"B",NA,"A","E","B","B",NA,"B","C","C","B"
NA,"A","D","C","B","B","D","B","D","A",NA,"A",NA,"B",NA,"C","C","A","A","E",NA,"D","A",NA,"A","A","B",NA,"B","B","B","B","D","C","B","B","B"
"B","F","E","A","C","C","E","D",NA,"C","D","B","A","B",NA,"B","C","A","A",NA,"D","C","A","D",NA,"A","A","B","D",NA,"B","E","E","A","A","C","B"
"C","A","D","A","C","B","C","E","B","A","E","A","F","B",NA,NA,"B","B","A","B",NA,"D","A",NA,"A","B","B",NA,"C",NA,"B","B","D","C","B","B","B"
NA,"F","D","A","B","C","C","A","A","B","D","B",NA,"B",NA,"C","A","A","A",NA,NA,"D","A","B","C","A","B",NA,"C","D","B","E","A","B","B","A","B"
"A","F","E","B","A","C","A","E","B","A","B","B","A","B",NA,"C","A","A","A","D","B","E","A","B","A","A","A","E","B","B","B","E",NA,"E","C","D","B"
"A","F","D","B","B","B","A","D","A","B","F","B","C","B","B","B","A","B","A",NA,"D","F","A","D","C","B","A",NA,"B","B","A","B","B","B","B","A","B"
NA,"A","B","C","C","B","C","A",NA,"B","D","B",NA,"B",NA,"C","B",NA,"A",NA,NA,"D","A",NA,"B","A","B","B","D",NA,"A",NA,NA,"D","B","C","B"
"B","E","E","A","B","B","C","E",NA,"B",NA,"A",NA,"B","B","B","B","A",NA,"B",NA,"E","A","D","C","A","B","B","D","E","B","E","A","A","A","C","B"
"B","F","D","B","C","A","E","D","F","A","D","C",NA,"A","A",NA,"C",NA,"A",NA,"B","D","A",NA,"C","A","B","F","D","E","A","D",NA,"E","B","A","B"
"B","F","D","C","C","B",NA,"C","D","C","D","C","A","B",NA,"C","B","B","A","B",NA,"B","A",NA,"A",NA,"B","B","A",NA,"A",NA,"B","F","A","A","A"
"C","A","E","A","B","A","E","D","A","A","B","C",NA,"B","B","B","C",NA,"A",NA,"B","A","A","D","A","A","B","B","C","B","A","B",NA,"E","B","D","B"
"B","F","D","A","B","A",NA,"D","A","A","A","C","F","B","B","C","A","B","A",NA,"D","B","A","D",NA,NA,"A",NA,"B","E","A",NA,"E","F","C","A","B"
"B","F","D","C","B","A","C","D","F","C",NA,"C",NA,"B","B","B","B","A","A",NA,"D","B","A",NA,"A","A","B",NA,"B",NA,"A",NA,"E","B","B","A","A"
NA,"A","D","A","B","C","D","C",NA,"A",NA,"A",NA,"B",NA,NA,"A",NA,NA,"C",NA,"D","A",NA,NA,NA,"B",NA,"D","E","B","A","A","B","B","E","B"
NA,"A","D","C","C","C","D","C","A","A","A","C","B","B","B",NA,"A","B","A",NA,NA,"D","A","D","B",NA,"A","A","C","C","A","C",NA,"A","C","A","A"
"C","A","D","A","A","C",NA,"A","A","B","E","B","C","B",NA,NA,"B","A","A",NA,"B","C","A","C",NA,NA,"A","B","D",NA,"B","E","E","F","B","C","B"
"B","D","D","B","C","C","D","C","A","C",NA,"A",NA,"B",NA,"B","B","A",NA,NA,"B","E","A","B","A","B","A",NA,"C","C","A",NA,"E","D","B","D","B"
NA,"A","E","A","C","C","C","B",NA,"A","A","A","A","B","B","C","B","A","A","E",NA,"D","A","B",NA,NA,"B","B","D",NA,"B","C","D","B","C","C","B"
"B","D","D","B","B","C","D","C","B","A","C","B",NA,"A","B","B","A","B","A","C","D","B","A","D","B",NA,"B",NA,"B","D","B","D","D","B","B","C","B"
"A","E","D","B","B","A","C","E",NA,"B","F","B","F","B","B","C","B","B","A","E","D","E","A","D","B","B","A",NA,"A",NA,"A","C","B","B","C","D","B"
"B","A","D","C","B","B","C","A","D","C",NA,"A","C","B","C","B","A","A",NA,"E","B","B","A","D","A","B","A","B","C","C","B","B","D","B","C","D","B"
"C","E","B","B","B","C","A","E","B","A",NA,"B",NA,"B",NA,"B","A","A","A",NA,NA,"B","A","C","C",NA,"B",NA,"C","C","B","B","E","F","C","D","B"
"A","F","D","C","A","A",NA,"A","A","B","D","B",NA,"A","A","B","C","B","A","C",NA,"F","A","D","A","B","B",NA,"B","B","B","B","E","F","A","C","B"
"C","F","D","B","B","C","E","C",NA,"A","A","B","E","B",NA,"A","B","A","A","E","D","B","A","C","C",NA,"A",NA,"D","F","A",NA,NA,"B","A","E","B"
NA,"F","D","B","B","B","C","D","B","B","F","B","A","B","A",NA,"B","B","A","B",NA,"D","A",NA,"C","B","B",NA,"D","D","B","E","D","D","C","E","B"
NA,"F","D","B","B","C","A","E","A","C","D","C","D","B","A","A","C","B","A",NA,"C","C","A","B","C",NA,"A",NA,"B","E","A",NA,NA,"B","A","C","A"
"A","F","E","B","A","A","A","A",NA,"B","C","B","A","B",NA,"B","C","A","A",NA,"D","C","A","D",NA,"A","A","E","A","F","B","D","B","F","C","D","B"
NA,"F","E","A","C","A","D","D",NA,"A","E","C",NA,"B",NA,"B","C","B","A","E",NA,"D","A","D",NA,"A","B","E","D","D","A",NA,NA,"C","B","A","B"
"B","F","D","A","C","B","E","D","B","B","D","A","E","B","B","B","B","B",NA,"E","D","F","A",NA,"C","A","B",NA,"C","D","B","B",NA,"E","C","B","A"
NA,"F","D","A","B","A","D","C","B","B","D","A","F","B",NA,"A","B","B","A",NA,"B","D","B","D",NA,"A","A",NA,"B",NA,"B","B","A","B","B","A","B"
"A","F","D","A","B","B","E","C","A","B","F","C","A","B",NA,NA,"C","A",NA,"E",NA,"B","A","D",NA,"A","A","B","C","D","A","B",NA,"D","C","C","B"
NA,"A","D","C","C","C","C","B",NA,"B","E","C","F","B","B","C","C","B","A","C","B","C","A",NA,NA,"A","B",NA,"D","E","A",NA,NA,"D","C","C","B"
"B","F","B","A","A","C","B","B","A","A","A","A","F","B",NA,"C","C","A",NA,NA,"B","A","A","D","D","A","A","E","A","E","B","D","B","B","B","E","B"
NA,"C","D","A","B","B","E","D",NA,"B","B","A","C","B",NA,"C","B","B","A",NA,"B","E","B",NA,NA,"A","B",NA,"D","E","B","B",NA,"E","B","B","B"
"B","F","D","B","C","A","A","C","B","B","F","C","A","B","A","B","C","A","A",NA,"B","E","B","D","C","B","B","F","A","E","A","B",NA,"A","C","B","B"
NA,"C","D","B","C","B","D","A",NA,"B","D","A",NA,"B","A",NA,"B",NA,"A",NA,"D","D","A","D","D","A","B","E","D",NA,"A",NA,NA,"A","B","C","A"
NA,"A","D","C","C","B","C","E",NA,"B","A","C","E","B",NA,NA,"A",NA,"B",NA,"B","D","A","D","A","A","B","D","D","D","B","E","D","B","A","B","B"
"C","A","E","A","B","C","C","A",NA,"C",NA,"A","E","B",NA,"C","B",NA,NA,NA,"B","A","A","C",NA,NA,"A","B","D",NA,"B","B","B","C","C","C","A"
NA,"A","D","A","C","B","D","D","A","A",NA,"A",NA,"B",NA,NA,"B","A","A",NA,"D","D","A","B",NA,"A","A",NA,"C",NA,"A",NA,NA,"D","B","A","B"
"B","F","E","A","A","C","C","E","A","C","D","C","D","B",NA,NA,"B",NA,"A","E",NA,"D","A",NA,"A",NA,"B","F","A","E","A","B",NA,"A","B","F","A"
"B","F","D","A","B","B","C","E",NA,"C",NA,"A","C","B",NA,"B","C","B",NA,NA,"B","B","A","D","A","A","A",NA,"D","E","B","B","B","A","C","B","A"
"A","F","D","B","B","C",NA,"B","A","A","C","B",NA,"B",NA,"B","A","A",NA,NA,"B","C","A",NA,"C","A","B","B","A","E","A",NA,NA,"B","A","F","B"
"B","A","D","A","B","C","E","D","A","C","B","B","F","B","A","B","C","A","A","B","B","C","A",NA,"D",NA,"A","E","A","F","B","E",NA,"E","C","D","A"
"A","F","D","A","C","B","B","C","B","A","A","A","E","B","A","C","A","A","A",NA,"B","B","A","C",NA,"A","A",NA,"D","E","A",NA,NA,"A","B","A","A"
NA,"A","D","C","C","C",NA,"E",NA,"B","D","A",NA,"B",NA,NA,"A","B","A",NA,"B","D","A","D","A","A","B",NA,"D",NA,"B","B","D","F","B","C","A"
