"WYwfp","vhQvJ","tLOHX","RgmKY","FAIJt","uEpzT","QGdLi","Yeylk","QCQtq","EfFHC","INUSU","HKwVn","hBMen","bjoNn","eVSpV","SYltm","Psrrk","aiiZa","wgriv","RcBhT","hgaQp","UtoEB","LmjIf","EaQAS","hkpyF","IOHMH","OMcWd","AJvLt","Lctit","xISFX","LmZyP","kJviW","kgMLV","HtoiS","osOKb","WtGYX","LzfyG","OeKSO","cFJIc","RqRVT","DYMQB","zgjGa","iAdij","cEpaJ","UIirr","gFyTi","pvPbb","PDaYY","UPHgP"
NA,"C","A","D","A","C","A","F","A","A",NA,"C","A","A","C","A","B","B","A","D","A","A","D","A","C","C","C","B","C","D","B","C","C","E",NA,NA,"D","E","A","A","A","D","E","D","E","B","B","E","A"
"A","D","A","D","B","A","A",NA,"B",NA,"A","A",NA,"A","D","A","A","A","D","B","E","A","B","A","B","A","C",NA,"A","A","A","B","B","C","A","F",NA,"A","A","C",NA,"D","C","A","E","A",NA,"B","A"
NA,"D","A","D","C","C","D","E","A",NA,"B",NA,"B","E","A","A","B","E","D","D","D","A",NA,"A","E","A","B",NA,"C","C","E","B","A","A","D","D",NA,NA,"C","C","A","E","D","C","D","B","D","F",NA
NA,NA,"B","C","B","A","B",NA,"D","B","A","E","B","E","B","B","C","B",NA,"D","C","B","B","A",NA,"C","E","C","C","C","E","F","A","A","F","E",NA,"E","E",NA,NA,"A","A","A","D","B","D","C","C"
"A","D","A",NA,"A","A","A",NA,"A","C","B","E","A","B","E","A","C","E","A","A","C","B","C","A","F","F","F","A","C",NA,"D","D","D","A",NA,"B","C","E","C","D","E","D","C","F","E","A","D","A","C"
"C","A","B","C","C","C","D",NA,"A",NA,NA,"B",NA,"D",NA,"B","B","A","C","D","D","A","C","A","B","C",NA,"B","D","D","E","E","C",NA,NA,"B",NA,NA,"A",NA,"E","D","C","B","D","B","D","F","C"
"B",NA,"B","A","B","B","D",NA,"A","B",NA,NA,"B","A","B","B","C","B",NA,"B","A","A",NA,"A",NA,"F","B","B","C","D","A","D","D","A",NA,"D","A",NA,"D","A","B","E","C","D","D","B","D","B","A"
"B",NA,"A","B","B","C","D","E","A",NA,"A","C","A","E",NA,"A","A","E",NA,"D","C","A","A","B","A","B","B",NA,"D","C","F","C","B","E","D","A",NA,NA,"B","A","C","E","E","A","D","B",NA,"E","A"
"A",NA,"A","D","A","C","A","F","A",NA,NA,"C","B","A",NA,"A","C","E",NA,"B","C","A","C","A","A","B","C","A","D","B","B","D","B",NA,NA,NA,"B","A","E","C","A","B","C","D","D","B","C","B","A"
"C","A","B","C","A","C","D",NA,"A","C","A","C",NA,"A",NA,"A","C","E","E","A","A","B","B","A","E","B",NA,"A","B","D","C","A","A","A","B","B",NA,NA,"B","D","E","E","D","F","D","B","C","B","C"
"A",NA,"A","D","B","C","E","F","A",NA,"A",NA,"B","B","B","A","D","B",NA,"C","C","A","C","A","B","F",NA,"B","B",NA,"B","F","C","A",NA,"B","C","D","E","A","A","C","C","D","D","B","A","A","A"
"A","A","A",NA,"C","C","B",NA,"A","B","B","C","A","A","C","B","B","A",NA,"D","C","A","C","A","B","B","B","C","B","C","E","D","B","A",NA,"B","D","D","A","C","D","E","C","B","A","B","B","E","A"
NA,"D","A",NA,"C","C","C","F","D",NA,"B","C","A",NA,NA,"B","A","B","E","D","B","A","B","A","A","C","D","A","A","A","E","E","C","A","F","A","A","E","E",NA,"A","E","F","C","D","A","A",NA,"A"
"A",NA,"A","A","B","C","D","D","B",NA,"A",NA,"A","E","A","B","D","E","A","C","D","A","A","A","D","B",NA,"B","C","A","F","D","A","A","E","C",NA,NA,"B","C","A","D","E","E","D","A",NA,"C","A"
"B",NA,"A","C","A","A","A","F","D","C","A","E","C",NA,"A","A","B","E",NA,"D","C","A","A","B",NA,"F",NA,"B","C","C","A","E","B","A","F","B","C","F","E",NA,"E","E","A","A","D","B","B","F","C"
"C","B","A","C","B","C","A",NA,"B",NA,"B","C","B","E",NA,"A","D","E","F","B","A","A",NA,"A","C","E",NA,"A","C","B","E","D","B","A","F","D","B","E","B","C","E","E","A","F","A","A","C","E",NA
"A",NA,"A","D","B","C","A","F","A",NA,"C","C","A","B","B","A","D","B","A","C","F","A","D","B","B","D","C","B","C","A","A","B","A","A","D","A","B","F","E","B","A","B","B","C","D","A","A","D","A"
"B",NA,"A",NA,"B","A","A",NA,"A",NA,NA,"C","A","F","C","B","D","B","B","A","B","A","C","A","B","A",NA,"A","A","C","D","D","D","A",NA,NA,"D","F","A","A","A","E","C","D","D","B","A","A","C"
"C",NA,"A",NA,"B","A","B",NA,"A",NA,"B",NA,"A","F","B","B","D","E",NA,"D","C","A","C","A",NA,"E",NA,"B","A","D","C","D","B","C","E","A","C",NA,"A","C","E","A","C","F","D","B","C","C","A"
"B","C","B",NA,"A","A","D","C","B","A","B","A",NA,"A","B","B","C","B","B","B","C","A","B","A","D","F","D","B","B","D","A","B","D","C","C","F","B",NA,"C","A","A","D","A","D","E","B","A","B","A"
NA,NA,"B",NA,"B","A","D",NA,"A","B","A",NA,"A","B","D","A","B","C","A","A","F","A","A","A",NA,"C","E","A","C",NA,"E","B","B","E","D","C",NA,NA,"A","C","A","E","C","A","A","B","C","D",NA
"B",NA,"B","A","B","C","E",NA,"B","A","B","A","B","B",NA,"A","A","E","A","B","A","A","D","A","B","A","C","C","C","C","C","A","C",NA,"B",NA,"D","B","E","A","E","D","C","E","E","B","D","A","C"
"A","A","A",NA,"A","B","D",NA,"A",NA,"C","E","B","D",NA,"B","C","E","A","C","A","B","C","A","E","B","C","C","D","D","F","F","B","A",NA,"B","C","F","A","C","A","A","C","B","D","A","D","A","A"
"A",NA,"A","C","B","B","D",NA,"D",NA,NA,"C","A","A","C","A","D","E","F","B","E","A","C","B",NA,"A",NA,"C","B","D","D","C","D","A",NA,NA,"A","E","D","D","A","E","C","D","D","B","B",NA,"A"
"B",NA,"A","C","B","C","A",NA,"B","C","A","A","A","D","B","B","D","E","E","B","F","A","A","A","D","E","D","C","C","D","F","B","B","C","E","D","A",NA,"E","C","E","D","C","F","D","B","B","F","A"
NA,NA,"A","C","B","A","D","F","B","B","A","A","A","A",NA,"B","D","A","B","D","E","B",NA,"B","E","E","B","C","A","A","E","D","C","C","B","D","B",NA,"C","B","A","B","A","B","D","A","C","F","A"
"B","B","A",NA,"B","A","A","C","A",NA,"C","A","A","A","D","A","B","E","F","D","F","B","A","A","F","D","F","B","D","A","B","D","A",NA,"E","A","C","F","B",NA,"A","E","E","A","E","A","C","D",NA
